s,a,r,sp
940,0,0,940
940,2,-2,906
906,0,0,873
873,2,-2,806
806,1,-2,0
1569,0,0,1635
1635,0,0,1701
1701,2,-2,1733
1733,2,-2,1732
1732,2,-2,1698
1698,1,-2,1699
1699,2,-2,0
1731,2,-2,1664
1664,2,-2,1564
1564,0,0,1465
1465,2,-2,1332
1332,0,0,1200
1200,1,-2,1102
1102,0,0,1003
1003,0,0,904
904,0,0,805
805,0,0,0
740,2,-2,640
640,2,-2,0
1104,1,-2,1105
1105,2,-2,1071
1071,0,0,1038
1038,0,0,1005
1005,1,-2,1006
1006,0,0,1006
1006,0,0,1006
1006,2,-2,972
972,1,-2,973
973,0,0,973
973,1,-2,1007
1141,0,0,1240
1240,0,0,1339
1339,0,0,1438
1438,0,0,1537
1537,0,0,1636
1636,0,0,1735
1735,1,-2,1868
1868,0,0,2000
2000,2,-2,0
1667,0,0,1700
1700,2,-2,1699
1699,0,0,1699
1699,0,0,1699
1699,0,0,1699
1699,0,0,1699
1699,2,-2,1665
1665,0,0,1632
1632,0,0,1599
1599,0,0,0
1336,1,-2,1370
1370,1,-2,1437
1437,0,0,1503
1503,0,0,1569
1569,2,-2,1601
1601,1,-2,1668
1668,1,-2,1768
1768,0,0,1867
1867,0,0,1966
1966,2,-2,0
1763,0,0,1697
1697,2,-2,1597
1597,0,0,1498
1498,0,0,1399
1399,2,-2,1266
1266,0,0,1134
1134,1,-2,1036
1036,2,-2,903
903,1,-2,805
805,2,-2,672
672,0,0,540
540,0,0,408
408,2,-2,242
242,0,0,0
1961,2,-2,1861
1861,0,0,1762
1762,0,0,1663
1663,2,-2,1530
1530,1,-2,1432
1432,2,-2,1299
1299,0,0,1167
1167,0,0,1035
1035,0,0,903
903,0,0,771
1274,0,0,1406
1406,0,0,1538
1538,0,0,1670
1670,0,0,1802
1802,0,0,1934
1934,0,0,0
1398,0,0,1266
1266,2,-2,1100
1100,0,0,935
935,1,-2,804
804,0,0,672
672,2,-2,0
1266,0,0,1134
1134,0,0,1002
1002,2,-2,836
836,0,0,671
671,2,-2,0
1496,0,0,1331
1331,0,0,1166
1166,2,-2,967
967,0,0,769
769,1,-2,605
605,0,0,0
1337,2,-2,1336
1336,0,0,1336
1336,0,0,1336
1336,0,0,1336
1336,2,-2,1302
1302,0,0,1269
1269,0,0,1236
1236,2,-2,1169
1169,2,-2,1069
1069,1,-2,1004
1004,0,0,0
1537,2,-2,1602
1602,0,0,1668
1668,0,0,1734
1734,2,-2,1766
1766,2,-2,0
1766,0,0,1799
1799,1,-2,1866
1866,0,0,1932
1932,1,-2,2032
2032,1,-2,2165
2165,0,0,2297
2297,2,-2,0
1272,2,-2,1304
1304,0,0,1337
1337,2,-2,1336
1336,2,-2,1302
1302,0,0,1269
1269,2,-2,1202
1202,0,0,1136
1136,0,0,0
1405,2,-2,1470
1470,0,0,1536
1536,0,0,1602
1602,2,-2,1634
1634,0,0,1667
1667,0,0,0
1201,1,-2,1136
1136,0,0,1070
1070,2,-2,970
970,2,-2,837
837,1,-2,739
739,2,-2,0
1202,1,-2,1170
1170,1,-2,1171
1171,0,0,1171
1171,0,0,1171
1171,0,0,1171
1171,2,-2,1137
1137,0,0,1104
1104,0,0,1071
1071,1,-2,0
1174,2,-2,1239
1239,2,-2,1271
1271,0,0,1304
1304,1,-2,1371
1371,1,-2,1471
1471,2,-2,1536
1536,0,0,1602
1602,0,0,1668
1668,2,-2,0
1171,1,-2,1205
1205,0,0,1238
1238,2,-2,1237
1237,2,-2,1203
1203,2,-2,1136
1136,0,0,1070
1070,2,-2,970
970,0,0,871
871,0,0,772
772,0,0,673
673,1,-2,608
608,1,-2,576
576,0,0,543
543,2,-2,0
1635,1,-2,1735
1735,2,-2,1800
1800,0,0,1866
1866,1,-2,1966
1966,2,-2,2031
2031,1,-2,0
1138,0,0,1138
1138,0,0,1138
1138,0,0,1138
1138,0,0,1138
1138,2,-2,1104
1104,2,-2,1037
1037,2,-2,937
937,2,-2,804
804,1,-2,706
706,2,-2,573
573,1,-2,475
1105,1,-2,1139
1139,0,0,1172
1172,0,0,1205
1205,2,-2,1204
1204,0,0,1204
1204,0,0,1204
1204,1,-2,1238
1238,0,0,1271
1271,0,0,1304
1304,1,-2,1371
1371,0,0,1437
1437,2,-2,1469
1469,2,-2,1468
1401,1,-2,1402
1402,1,-2,1436
1436,0,0,1469
1469,0,0,1502
1502,2,-2,1501
1501,2,-2,1467
1467,0,0,1434
1434,0,0,1401
1401,1,-2,1402
1402,1,-2,1436
1436,0,0,1469
1469,2,-2,1468
1468,0,0,1468
1468,0,0,1468
1468,1,-2,1502
1502,2,-2,1501
1501,0,0,0
1241,0,0,1373
1373,2,-2,1471
1471,0,0,1570
1570,1,-2,1703
1703,1,-2,1869
1869,0,0,0
1796,2,-2,1696
1696,0,0,1597
1597,1,-2,1532
1532,2,-2,1432
1432,0,0,1333
1333,0,0,1234
1234,1,-2,1169
1169,1,-2,1137
1137,0,0,1104
1104,0,0,1071
1071,0,0,1038
1104,1,-2,1105
1105,2,-2,1071
1071,2,-2,1004
1004,0,0,938
938,1,-2,906
906,0,0,873
873,1,-2,874
874,0,0,874
874,0,0,874
874,0,0,874
874,0,0,874
874,0,0,874
874,0,0,874
874,0,0,0
1271,0,0,1304
1304,2,-2,1303
1303,2,-2,1269
1269,1,-2,1270
1270,1,-2,1304
1304,0,0,1337
1337,2,-2,1336
1336,0,0,1336
1336,0,0,1336
1336,0,0,1336
1336,0,0,1336
1336,0,0,1336
1336,0,0,1336
1336,0,0,1336
1501,2,-2,1467
1467,0,0,1434
1434,2,-2,1367
1367,0,0,1301
1301,0,0,1235
1235,0,0,1169
1169,0,0,1103
1103,0,0,1037
1037,0,0,971
971,0,0,905
905,0,0,839
839,1,-2,0
1273,1,-2,1406
1406,1,-2,1572
1572,0,0,1737
1737,0,0,1902
1902,2,-2,2033
2033,0,0,2165
2165,0,0,2297
2297,0,0,0
1273,1,-2,1406
1406,1,-2,1572
1572,0,0,1737
1737,0,0,1902
1902,2,-2,2033
2033,0,0,2165
2165,1,-2,2331
2331,0,0,0
1598,1,-2,1566
1566,0,0,1533
1533,2,-2,1466
1466,1,-2,1434
1434,1,-2,1435
1435,0,0,1435
1435,1,-2,1469
1469,1,-2,1536
1536,0,0,1602
1602,0,0,0
1068,0,0,936
936,1,-2,838
838,0,0,739
739,1,-2,0
1434,0,0,1401
1401,0,0,1368
1368,2,-2,1301
1301,0,0,1235
1235,0,0,1169
1169,2,-2,1069
1069,0,0,970
970,0,0,871
871,0,0,772
772,0,0,673
673,2,-2,540
540,1,-2,442
442,2,-2,0
1236,0,0,1203
1203,0,0,1170
1170,2,-2,1103
1103,0,0,1037
1037,0,0,971
971,2,-2,871
871,0,0,772
772,0,0,673
673,2,-2,540
540,0,0,408
408,2,-2,242
242,2,-2,0
1405,0,0,1504
1504,0,0,1603
1603,2,-2,1668
1668,1,-2,1768
1768,2,-2,1833
1833,2,-2,0
1103,0,0,1037
1037,1,-2,1005
1005,0,0,972
972,2,-2,905
905,1,-2,873
873,1,-2,874
874,1,-2,0
740,2,-2,640
640,0,0,0
972,1,-2,973
973,2,-2,939
939,0,0,906
906,0,0,873
873,0,0,840
840,0,0,807
807,0,0,774
774,0,0,741
741,0,0,708
708,0,0,0
1435,0,0,1435
1435,2,-2,1401
1401,0,0,1368
1368,2,-2,1301
1301,0,0,1235
1235,0,0,1169
1169,1,-2,1137
1137,0,0,1104
1104,1,-2,1105
1105,0,0,1105
1105,0,0,1105
1105,0,0,1105
1105,2,-2,1071
1071,0,0,1038
1038,2,-2,971
971,2,-2,871
871,0,0,772
772,1,-2,0
1633,0,0,1633
1633,1,-2,1667
1667,1,-2,1734
1734,1,-2,1834
1834,0,0,1933
1933,0,0,2032
2032,1,-2,2165
2165,1,-2,0
1699,0,0,1699
1699,2,-2,1665
1665,0,0,1632
1632,1,-2,1633
1633,2,-2,1599
1599,0,0,1566
1566,1,-2,1567
1567,2,-2,1533
1533,2,-2,1466
1466,0,0,1400
1400,1,-2,1368
1368,1,-2,1369
1369,0,0,1369
1369,0,0,1369
1369,1,-2,1403
1403,1,-2,1470
1470,0,0,1536
1536,0,0,1602
1506,2,-2,1637
1637,0,0,1769
1769,0,0,0
1436,2,-2,1435
1435,0,0,1435
1435,0,0,1435
1435,0,0,1435
1435,0,0,1435
1435,2,-2,1401
1401,1,-2,1402
1402,0,0,1402
1402,2,-2,1368
1368,1,-2,1369
1071,0,0,1038
1038,0,0,1005
1005,0,0,972
972,0,0,939
939,0,0,906
906,0,0,873
873,0,0,840
840,0,0,807
807,1,-2,808
808,0,0,808
808,0,0,808
808,2,-2,774
1504,0,0,1603
1603,0,0,1702
1702,1,-2,1835
1835,1,-2,2001
2001,1,-2,0
1266,2,-2,1100
1100,0,0,935
935,0,0,770
770,0,0,605
605,1,-2,0
1235,0,0,1169
1169,2,-2,1069
1069,2,-2,936
936,0,0,804
804,0,0,672
672,2,-2,506
506,2,-2,307
307,2,-2,75
75,1,-2,0
1767,0,0,1833
1833,0,0,1899
1899,1,-2,1999
1999,2,-2,0
1272,0,0,1338
1338,0,0,1404
1404,0,0,1470
1470,0,0,1536
1536,1,-2,1636
1636,2,-2,1701
1701,0,0,1767
1767,1,-2,1867
1867,1,-2,2000
2000,1,-2,2166
1763,1,-2,1731
1731,2,-2,1664
1664,0,0,1598
1598,0,0,1532
1532,1,-2,1500
1500,0,0,1467
1467,1,-2,1468
1468,0,0,1468
1468,0,0,1468
1468,0,0,1468
1468,2,-2,1434
1434,2,-2,1367
1367,1,-2,1335
1335,0,0,1302
1302,1,-2,1303
1303,0,-5000,0
1865,0,0,1898
1898,0,0,1931
1931,0,0,1964
1964,0,0,0
1303,0,0,1303
1303,2,-2,1269
1269,1,-2,1270
1270,1,-2,1304
1304,0,0,1337
1337,0,0,1370
1370,0,0,1403
1403,0,0,1436
1436,2,-2,1435
1435,1,-2,1469
1469,0,0,1502
1630,0,0,1531
1531,1,-2,1466
1466,0,0,1400
1400,0,0,1334
1334,0,0,1268
1268,2,-2,1168
1168,2,-2,1035
1035,1,-2,937
937,1,-2,872
872,2,-2,0
1497,0,0,1365
1365,0,0,1233
1233,2,-2,1067
1067,1,-2,936
936,2,-2,770
770,0,0,605
605,0,0,0
1732,1,-2,1766
1766,1,-2,1833
1833,0,0,1899
1899,0,0,1965
1965,2,-2,1997
1997,2,-2,1996
1996,2,-2,1962
1962,2,-2,1895
1895,1,-2,1863
1863,0,0,1830
1830,0,0,1797
1797,2,-2,1730
1730,0,0,1664
1664,1,-2,1632
1632,1,-2,1633
1270,1,-2,1304
1304,0,0,1337
1337,1,-2,1404
1404,2,-2,1436
1436,0,0,1469
1469,2,-2,1468
1468,0,0,1468
1468,1,-2,1502
1502,0,0,1535
1535,0,0,1568
1568,0,0,1601
1601,1,-2,1668
1833,0,0,1899
1899,2,-2,1931
1931,0,0,0
1401,0,0,1368
1368,1,-2,1369
1369,0,0,1369
1369,0,0,1369
1369,1,-2,1403
1403,0,0,1436
1436,0,0,1469
1469,0,0,1502
1502,0,0,1535
1535,0,0,1568
1568,0,0,1601
1601,2,-2,1600
1600,1,-2,0
1600,0,0,1600
1600,0,0,1600
1600,1,-2,1634
1634,2,-2,1633
1633,0,0,1633
1633,1,-2,1667
1667,0,0,1700
1700,0,0,1733
1733,0,0,1766
1766,2,-2,1765
1765,2,-2,1731
1138,0,0,1138
1138,1,-2,1172
1172,0,0,1205
1205,2,-2,1204
1204,0,0,1204
1204,2,-2,1170
1170,2,-2,1103
1103,1,-2,1071
1071,0,0,1038
1038,0,0,1005
1005,2,-2,938
938,0,0,872
872,2,-2,772
772,1,-2,707
707,1,-2,675
675,1,-2,676
1006,1,-2,1040
1040,2,-2,1039
1039,1,-2,1073
1073,2,-2,1072
1072,0,0,1072
1072,0,0,1072
1072,0,0,1072
1072,1,-2,1106
1106,1,-2,1173
1173,0,0,1239
1239,1,-2,1339
1339,0,0,1438
1438,1,-2,1571
1571,1,-2,0
1470,0,0,1536
1536,0,0,1602
1602,1,-2,1702
1702,0,0,1801
1801,0,0,1900
1900,2,-2,1965
1965,1,-2,2065
2065,2,-2,0
1302,1,-2,1303
1303,1,-2,1337
1337,0,0,1370
1370,0,0,1403
1403,2,-2,1402
1402,2,-2,1368
1368,0,0,1335
1335,0,0,1302
1302,0,0,1269
1269,0,0,1236
1236,0,0,1203
1203,1,-2,1204
1204,0,0,1204
1204,1,-2,1238
1238,0,0,1271
1271,1,-2,1338
1338,1,-2,0
1405,0,0,1504
1504,0,0,1603
1603,0,0,1702
1702,0,0,1801
1801,1,-2,1934
1934,2,-2,0
1438,0,0,1537
1537,1,-2,1670
1670,1,-2,1836
1836,0,0,2001
2001,0,0,2166
2166,0,0,0
1336,2,-2,1302
1302,2,-2,1235
1235,1,-2,1203
1203,1,-2,1204
1204,1,-2,1238
1238,0,0,1271
1271,1,-2,1338
1338,2,-2,1370
1370,2,-2,1369
1369,0,0,1369
1369,0,0,1369
1369,1,-2,1403
1403,1,-2,1470
1470,1,-2,1570
1570,0,0,1669
1235,1,-2,1203
1203,0,0,1170
1170,0,0,1137
1137,2,-2,1070
1070,1,-2,1038
1038,1,-2,1039
1039,0,0,1039
1039,0,0,1039
1039,2,-2,0
1470,0,0,1536
1536,1,-2,1636
1636,0,0,1735
1735,0,0,1834
1834,1,-2,1967
1967,2,-2,2065
2065,1,-2,2198
2198,0,0,0
1534,2,-2,1500
1500,0,0,1467
1467,0,0,1434
1434,0,0,1401
1401,0,0,1368
1368,0,0,1335
1335,2,-2,1268
1268,1,-2,1236
1236,2,-2,1169
1169,0,0,1103
1103,2,-2,1003
1003,1,-2,938
938,1,-2,906
906,0,0,873
873,2,-2,0
1501,0,0,1501
1501,0,0,1501
1501,0,0,1501
1501,0,0,1501
1501,1,-2,1535
1535,1,-2,1602
1602,2,-2,1634
1634,1,-2,1701
1701,0,0,1767
1767,0,0,1833
1833,0,0,1899
1899,0,0,1965
1965,0,0,2031
2031,0,0,2097
2097,1,-2,0
1103,1,-2,1071
1071,2,-2,1004
1004,2,-2,904
904,1,-2,839
839,0,0,773
773,1,-2,741
741,1,-2,0
1539,2,-2,1670
1670,2,-2,1768
1768,0,0,0
1601,0,0,1634
1634,0,0,1667
1667,1,-2,1734
1734,0,0,1800
1800,1,-2,1900
1900,2,-2,1965
1965,0,0,2031
2031,1,-2,2131
2131,1,-2,2264
2264,0,0,2396
2396,1,-2,2562
2562,1,-2,0
1402,0,0,1402
1402,2,-2,1368
1368,0,0,1335
1335,1,-2,1336
1336,0,0,1336
1336,0,0,1336
1336,0,0,1336
1336,2,-2,1302
1302,0,0,1269
1269,1,-2,1270
1270,0,0,1270
1270,2,-2,1236
1236,1,-2,1237
1237,0,0,1237
1371,0,0,1437
1437,2,-2,1469
1469,0,0,1502
1502,0,0,1535
1535,0,0,1568
1568,2,-2,1567
1567,1,-2,1601
1601,0,0,1634
1634,0,0,1667
1667,0,0,0
677,0,0,710
710,1,-2,777
777,1,-2,877
877,1,-2,1010
1010,2,-2,1108
1108,0,0,1207
1207,0,0,1306
1306,0,0,1405
1405,2,-2,1470
1470,0,0,1536
907,2,-2,873
873,1,-2,874
874,2,-2,840
840,1,-2,841
841,0,0,841
841,0,0,841
841,1,-2,875
875,1,-2,942
942,0,0,1008
1008,2,-2,1040
1040,0,0,1073
1073,0,0,1106
1432,0,0,1333
1333,2,-2,1200
1200,1,-2,1102
1102,0,0,1003
1003,1,-2,938
938,1,-2,906
906,0,0,873
873,2,-2,0
1273,1,-2,1406
1406,1,-2,1572
1572,0,0,1737
1737,0,0,1902
1902,2,-2,2033
2033,1,-2,2199
2199,0,0,2364
2364,1,-2,0
1671,2,-2,1802
1802,0,0,0
1566,0,0,1533
1533,0,0,1500
1500,0,0,1467
1467,0,0,1434
1434,1,-2,1435
1435,2,-2,1401
1401,1,-2,1402
1402,2,-2,1368
1368,1,-2,1369
1369,0,0,1369
1369,2,-2,1335
1335,1,-2,1336
1336,1,-2,1370
1370,2,-2,1369
1672,2,-2,1836
1836,0,0,0
1139,0,0,1172
1172,0,0,1205
1205,0,0,1238
1238,2,-2,1237
1237,0,0,1237
1237,2,-2,1203
1203,0,0,1170
1170,2,-2,1103
1103,0,0,1037
1037,1,-2,1005
1005,0,0,972
972,0,0,939
939,0,0,906
906,0,0,0
1108,0,0,1207
1207,0,0,1306
1306,2,-2,1371
1371,0,0,1437
1437,2,-2,1469
1469,0,0,1502
1502,2,-2,1501
1501,0,0,1501
1501,1,-2,0
1569,2,-2,1601
1601,0,0,1634
1634,0,0,1667
1667,0,0,1700
1700,0,0,1733
1733,0,0,1766
1766,2,-2,0
1332,0,0,1200
1200,0,0,1068
1068,0,0,936
936,0,0,804
804,0,0,672
672,0,0,0
1010,0,0,1142
1142,1,-2,1308
1308,0,0,1473
1473,0,0,1638
1638,0,0,1803
1803,2,-2,1934
1934,2,-2,2032
2032,0,0,0
1041,1,-2,1141
1141,0,0,1240
1240,2,-2,1305
1305,2,-2,1337
1337,2,-2,1336
1336,0,0,1336
1336,0,0,1336
1336,1,-2,1370
1370,0,0,1403
1403,0,0,1436
1436,0,0,1469
1469,0,0,1502
1502,0,0,1535
1535,2,-2,1534
1405,0,0,1504
1504,0,0,1603
1603,2,-2,1668
1668,1,-2,1768
1768,2,-2,1833
1833,1,-2,0
1173,2,-2,1205
1205,2,-2,1204
1204,2,-2,1170
1170,1,-2,1171
1171,2,-2,1137
1137,1,-2,1138
1138,0,0,1138
1138,0,0,1138
1138,2,-2,1104
1104,2,-2,0
1798,1,-2,1832
1832,0,0,1865
1865,0,0,1898
1898,0,0,1931
1931,0,0,1964
1964,2,-2,1963
1963,0,0,1963
1963,1,-2,1997
1997,0,0,2030
2030,0,0,2063
2063,1,-2,2130
2130,2,-2,2162
2162,1,-2,2229
2229,0,0,2295
2295,0,0,2361
2361,0,0,2427
2427,1,-2,0
742,1,-2,776
776,2,-2,775
775,0,0,775
775,0,0,775
775,0,0,775
775,0,0,775
775,0,0,775
775,1,-2,809
809,1,-2,876
876,2,-2,908
908,2,-2,907
907,1,-2,941
941,0,0,974
974,0,0,1007
1007,0,0,1040
1403,2,-2,1402
1402,0,0,1402
1402,0,0,1402
1402,2,-2,1368
1368,2,-2,1301
1301,1,-2,1269
1269,0,0,1236
1236,2,-2,1169
1169,0,0,1103
1103,1,-2,1071
1071,0,0,0
1239,0,0,1305
1305,0,0,1371
1371,0,0,1437
1437,0,0,1503
1503,0,0,1569
1569,0,0,1635
1635,1,-2,1735
1735,2,-2,1800
1800,2,-2,1832
1832,2,-2,1831
1831,1,-2,1865
1865,0,0,0
1473,0,0,1638
1638,1,-2,1837
1837,1,-2,2069
2069,2,-2,0
1635,1,-2,1735
1735,0,0,1834
1834,2,-2,1899
1899,2,-2,1931
1931,1,-2,1998
1998,0,0,0
1239,2,-2,1271
1271,0,0,1304
1304,0,0,1337
1337,0,0,1370
1370,0,0,1403
1403,0,0,1436
1436,2,-2,1435
1435,2,-2,1401
1401,0,0,1368
1368,2,-2,1301
1301,1,-2,0
1006,2,-2,972
972,1,-2,973
973,1,-2,1007
1007,1,-2,1074
1074,2,-2,1106
1106,0,0,1139
1139,0,0,1172
1172,0,0,1205
1205,0,0,1238
1238,1,-2,1305
1305,0,0,1371
1371,0,0,1437
1437,0,0,1503
1503,0,0,1569
1569,0,0,1635
1635,2,-2,0
1170,0,0,1137
1137,1,-2,1138
1138,1,-2,1172
1172,2,-2,1171
1171,0,0,1171
1171,0,0,1171
1171,2,-2,1137
1137,2,-2,1070
1070,0,0,1004
1004,0,0,938
1665,2,-2,1598
1598,0,0,1532
1532,0,0,1466
1466,0,0,1400
1400,1,-2,1368
1368,0,0,1335
1335,1,-2,1336
1336,1,-2,1370
1370,0,0,1403
1403,1,-2,1470
1470,0,0,1536
1536,0,0,1602
1602,0,0,1668
1668,1,-2,1768
1768,0,0,0
1074,1,-2,1174
1174,0,0,1273
1273,2,-2,1338
1338,0,0,1404
1404,1,-2,1504
1504,0,0,1603
1603,0,0,1702
1702,0,0,1801
1801,2,-2,1866
1866,0,0,1932
1932,1,-2,2032
2032,1,-2,2165
2165,2,-2,2263
2263,1,-2,0
1568,1,-2,1635
1635,0,0,1701
1701,2,-2,1733
1733,1,-2,1800
1800,0,0,1866
1866,1,-2,1966
1966,0,0,2065
2065,0,0,2164
2164,2,-2,2229
2229,0,0,2295
2295,1,-2,2395
1436,0,0,1469
1469,0,0,1502
1502,2,-2,1501
1501,0,0,1501
1501,0,0,1501
1501,2,-2,1467
1467,1,-2,1468
1468,2,-2,1434
1434,0,0,1401
1401,0,0,1368
1368,2,-2,1301
1301,0,0,1235
1235,0,0,0
1400,0,0,1334
1334,2,-2,1234
1234,0,0,1135
1135,0,0,1036
1036,0,0,937
937,0,0,838
838,1,-2,773
773,0,0,707
707,0,0,641
641,0,0,575
1105,1,-2,1139
1139,2,-2,1138
1138,2,-2,1104
1104,1,-2,1105
1105,0,0,1105
1105,0,0,1105
1105,0,0,1105
1105,0,0,1105
1105,0,0,1105
1105,0,0,1105
1105,2,-2,1071
1071,1,-2,1072
1072,2,-2,1038
1038,1,-2,1039
1039,0,0,1039
1039,0,0,1039
1039,0,0,1039
1173,2,-2,1205
1205,2,-2,1204
1204,0,0,1204
1204,0,0,1204
1204,1,-2,1238
1238,2,-2,1237
1237,0,0,1237
1237,0,0,1237
1237,0,0,1237
1237,0,0,1237
1237,2,-2,0
1403,2,-2,1402
1402,1,-2,1436
1436,0,0,1469
1469,2,-2,1468
1468,2,-2,1434
1434,1,-2,1435
1435,0,0,1435
1435,1,-2,1469
1469,1,-2,1536
1536,1,-2,1636
1636,0,0,1735
1735,0,0,1834
1834,1,-2,1967
1967,2,-2,2065
1404,0,0,1470
1470,0,0,1536
1536,2,-2,1568
1568,1,-2,1635
1635,0,0,1701
1701,0,0,1767
1767,0,0,1833
1833,0,0,1899
1899,0,0,0
1038,2,-2,971
971,2,-2,871
871,2,-2,738
738,0,0,606
606,1,-2,508
508,2,-2,375
375,0,0,243
243,2,-2,0
1237,2,-2,1203
1203,0,0,1170
1170,0,0,1137
1137,1,-2,1138
1138,2,-2,1104
1104,1,-2,1105
1105,2,-2,1071
1071,2,-2,1004
1004,2,-2,904
904,1,-2,839
839,1,-2,807
807,1,-2,808
808,1,-2,842
842,0,0,875
875,1,-2,942
942,1,-2,1042
1042,2,-2,1107
1107,0,0,1173
940,1,-2,974
974,2,-2,973
973,1,-2,1007
1007,0,0,1040
1040,1,-2,1107
1107,0,0,1173
1173,0,0,1239
1239,0,0,1305
1305,1,-2,1405
1405,2,-2,1470
1470,2,-2,1502
1502,0,0,1535
1535,0,0,1568
1568,1,-2,0
1271,1,-2,1338
1338,0,0,1404
1404,0,0,1470
1470,0,0,1536
1536,0,0,1602
1602,2,-2,1634
1634,1,-2,1701
1701,1,-2,1801
1801,1,-2,1934
1934,2,-2,2032
2032,0,0,2131
2131,2,-2,2196
2196,2,-2,2228
2228,0,0,2261
2261,2,-2,2260
1535,0,0,1568
1568,1,-2,1635
1635,2,-2,1667
1667,0,0,1700
1700,1,-2,1767
1767,0,0,1833
1833,0,0,1899
1899,2,-2,1931
1931,2,-2,1930
1930,2,-2,1896
1009,2,-2,1074
1074,2,-2,1106
1106,0,0,1139
1139,1,-2,1206
1206,0,0,1272
1272,1,-2,1372
1372,2,-2,1437
1437,0,0,1503
1503,0,0,1569
