s,a,r,sp
1137,1,-2,0
1663,1,-2,1598
1598,1,-2,1566
1566,1,-2,1567
1567,2,-2,1533
1533,0,0,1500
1500,0,0,1467
1467,0,0,1434
1434,0,0,1401
1401,0,0,1368
1368,2,-2,1301
1301,0,-5000,0
1075,0,0,1174
1174,0,0,1273
1273,2,-2,1338
1338,0,0,1404
1404,0,0,1470
1470,0,0,1536
1536,0,0,1602
1602,0,0,1668
1668,1,-2,1768
1768,0,0,0
1042,2,-2,1107
1107,1,-2,1207
1207,2,-2,1272
1272,2,-2,1304
1304,2,-2,1303
1303,1,-2,1337
1337,0,0,1370
1370,0,0,1403
1403,0,0,1436
1436,0,0,0
1334,2,-2,1234
1234,0,0,1135
1135,1,-2,1070
1070,1,-2,1038
1038,0,0,1005
1005,0,0,972
972,0,0,939
939,2,-2,872
872,0,0,806
806,2,-2,706
706,0,0,0
1206,1,-2,1306
1306,0,0,1405
1405,2,-2,1470
1470,2,-2,1502
1502,0,0,1535
1535,0,0,1568
1568,0,0,1601
1601,0,0,1634
1634,2,-2,1633
1633,0,0,1633
1633,0,0,1633
1633,0,0,0
1366,0,0,1267
1267,0,0,1168
1168,1,-2,1103
1103,1,-2,1071
1071,0,0,1038
1038,0,0,1005
1005,1,-2,1006
1006,0,0,0
1332,0,0,1200
1200,2,-2,1034
1034,0,0,869
869,1,-2,738
738,0,0,606
606,0,0,0
1432,2,-2,1299
1299,1,-2,1201
1201,0,0,1102
1102,1,-2,1037
1037,2,-2,937
937,0,0,838
838,1,-2,773
773,0,0,0
1500,0,0,1467
1467,0,0,1434
1434,0,0,1401
1401,0,0,1368
1368,0,0,1335
1335,0,0,1302
1302,0,0,1269
1269,2,-2,1202
1202,0,0,1136
1136,2,-2,1036
1036,2,-2,903
903,0,0,771
771,0,0,639
639,0,0,507
507,1,-2,409
409,1,-2,344
1172,2,-2,1171
1171,1,-2,1205
1205,2,-2,1204
1204,0,0,1204
1204,2,-2,1170
1170,1,-2,1171
1171,2,-2,1137
1137,0,0,1104
1104,0,0,1071
1071,1,-2,1072
1072,0,0,1072
1136,1,-2,1104
1104,1,-2,1105
1105,0,0,1105
1105,1,-2,1139
1139,0,0,1172
1172,0,0,1205
1205,0,0,1238
1238,0,0,0
1403,2,-2,1402
1402,1,-2,1436
1436,0,0,1469
1469,1,-2,1536
1536,0,0,1602
1602,2,-2,1634
1634,0,0,1667
1667,0,0,1700
1700,2,-2,1699
1699,2,-2,1665
1665,0,0,1632
1632,0,0,1599
1305,1,-2,1405
1405,0,0,1504
1504,0,0,1603
1603,0,0,1702
1702,1,-2,1835
1835,2,-2,1933
1933,2,-2,1998
1998,0,0,2064
2064,0,0,2130
2130,0,0,2196
2196,2,-2,0
1206,0,0,1272
1272,0,0,1338
1338,1,-2,1438
1438,0,0,1537
1537,1,-2,1670
1670,0,0,1802
1802,2,-2,1900
1900,0,0,1999
1999,2,-2,2064
2064,0,0,2130
2130,1,-2,2230
2230,1,-2,0
1236,0,0,1203
1203,1,-2,1204
1204,1,-2,1238
1238,1,-2,1305
1305,2,-2,1337
1337,1,-2,1404
1404,2,-2,1436
1436,2,-2,1435
1435,1,-2,1469
1469,2,-2,1468
1468,0,0,1468
1468,2,-2,1434
977,0,0,1109
1109,0,0,1241
1241,1,-2,1407
1407,0,0,1572
1572,0,0,1737
1737,0,0,1902
1902,0,0,2067
2067,0,0,0
1397,1,-2,1266
1266,1,-2,1168
1168,0,0,1069
1069,1,-2,1004
1004,0,0,0
1702,1,-2,1835
1835,1,-2,2001
2001,0,0,0
1537,2,-2,1602
1602,0,0,1668
1668,1,-2,1768
1768,1,-2,1901
1901,2,-2,0
1073,1,-2,1140
1140,0,0,1206
1206,0,0,1272
1272,1,-2,1372
1372,1,-2,1505
1505,1,-2,1671
1671,0,0,1836
1836,1,-2,0
871,0,0,772
772,0,0,673
673,2,-2,0
905,0,0,839
839,0,0,773
773,0,0,707
707,0,0,0
1435,0,0,1435
1435,0,0,1435
1435,0,0,1435
1435,0,0,1435
1435,0,0,1435
1435,1,-2,1469
1469,0,0,1502
1502,0,0,1535
1535,2,-2,1534
1534,1,-2,1568
1568,1,-2,1635
1635,0,0,1701
1701,0,0,1767
1767,0,0,1833
1833,1,-2,1933
1933,1,-2,2066
2066,0,0,0
1533,0,0,1500
1500,0,0,1467
1467,2,-2,1400
1400,0,0,1334
1334,2,-2,1234
1234,0,0,1135
1135,2,-2,1002
1002,1,-2,904
904,2,-2,771
771,2,-2,605
605,0,0,0
1433,0,0,1367
1367,0,0,1301
1301,1,-2,1269
1269,0,0,1236
1236,0,0,1203
1203,1,-2,1204
1204,2,-2,1170
1170,1,-2,1171
1171,2,-2,1137
1137,0,0,1104
1104,1,-2,1105
1105,0,0,0
1565,1,-2,1533
1533,0,0,1500
1500,0,0,1467
1467,0,0,1434
1434,2,-2,1367
1367,0,0,1301
1301,2,-2,1201
1201,0,0,1102
1102,0,0,1003
1003,2,-2,870
870,2,-2,704
704,0,0,539
539,1,-2,408
408,2,-2,0
1538,1,-2,1704
1704,1,-2,1903
1903,0,0,2101
2101,1,-2,0
1072,0,0,1072
1072,1,-2,1106
1106,1,-2,1173
1173,0,0,1239
1239,2,-2,1271
1271,0,0,1304
1304,0,0,1337
1337,0,0,1370
1370,2,-2,1369
1369,0,0,1369
1369,0,0,1369
1369,1,-2,1403
1403,1,-2,1470
1470,0,0,1536
1536,1,-2,1636
1636,2,-2,1701
1701,0,0,0
1373,2,-2,1471
1471,2,-2,1536
1536,0,0,1602
1602,0,0,1668
1668,2,-2,0
1044,0,0,1209
1209,1,-2,1408
1408,0,0,1606
1606,0,0,1804
1804,0,0,2002
2002,0,0,0
1532,0,0,1466
1466,2,-2,1366
1366,0,0,1267
1267,2,-2,1134
1134,0,0,1002
1002,1,-2,904
904,0,0,805
805,1,-2,740
740,0,0,674
674,0,0,608
608,2,-2,508
508,1,-2,443
443,0,0,377
377,2,-2,0
1573,0,0,1771
1771,1,-2,2003
2003,0,0,0
1636,1,-2,1769
1769,2,-2,1867
1867,0,0,1966
1966,0,0,0
1168,0,0,1069
1069,1,-2,1004
1004,2,-2,904
904,0,0,805
805,0,0,706
706,0,0,0
1595,2,-2,1396
1396,0,0,1198
1198,2,-2,966
966,1,-2,769
769,0,0,571
571,1,-2,0
1042,0,0,1141
1141,1,-2,1274
1274,0,0,1406
1406,2,-2,1504
1504,1,-2,1637
1637,0,0,1769
1769,0,0,1901
1901,2,-2,1999
1999,0,0,2098
2098,0,0,0
1538,1,-2,1704
1704,2,-2,1835
1835,2,-2,1933
1933,1,-2,0
1439,2,-2,1537
1537,1,-2,1670
1670,0,0,1802
1802,0,0,1934
1934,1,-2,0
1432,1,-2,1367
1367,2,-2,1267
1267,0,0,1168
1168,1,-2,1103
1103,0,0,1037
1037,2,-2,937
937,1,-2,872
872,2,-2,0
1037,2,-2,937
937,0,0,838
838,2,-2,705
705,0,0,573
573,0,0,441
441,0,0,0
1170,2,-2,1103
1103,0,0,1037
1037,1,-2,1005
1005,1,-2,1006
1006,1,-2,1040
1040,1,-2,1107
1107,0,0,1173
1173,1,-2,1273
1273,0,0,1372
1372,0,0,1471
1471,0,0,0
709,2,-2,675
675,0,0,642
642,2,-2,575
575,2,-2,475
475,0,0,376
376,1,-2,311
311,2,-2,211
211,2,-2,78
78,0,0,0
1074,0,0,1140
1140,0,0,1206
1206,1,-2,1306
1306,2,-2,1371
1371,0,0,1437
1437,1,-2,1537
1537,0,0,1636
1636,1,-2,1769
1769,0,0,1901
1901,1,-2,2067
2067,1,-2,2266
2266,0,0,2464
2464,0,0,0
1109,0,0,1241
1241,0,0,1373
1373,0,0,1505
1505,1,-2,1671
1671,0,0,1836
1836,2,-2,1967
1967,0,0,0
1930,2,-2,1896
1896,2,-2,1829
1829,1,-2,1797
1797,2,-2,1730
1730,0,0,1664
1664,0,0,1598
1598,0,0,1532
1532,0,0,1466
1466,0,0,1400
1400,0,0,1334
1334,2,-2,0
874,1,-2,908
908,2,-2,907
907,0,0,907
907,0,0,907
907,0,0,907
907,0,0,907
907,1,-2,941
941,2,-2,940
940,2,-2,906
906,0,0,873
873,0,0,840
840,0,0,807
807,1,-2,808
808,0,0,808
808,0,0,808
808,0,0,808
808,0,0,808
808,2,-2,774
774,0,0,741
1367,1,-2,1335
1335,0,0,1302
1302,1,-2,1303
1303,0,0,1303
1303,0,0,1303
1303,0,0,1303
1303,1,-2,1337
1337,0,0,1370
1370,1,-2,0
1364,2,-2,1165
1165,0,0,967
967,1,-2,803
803,0,0,638
638,2,-2,0
1500,0,0,1467
1467,0,0,1434
1434,2,-2,1367
1367,1,-2,1335
1335,1,-2,1336
1336,0,0,1336
1336,0,0,1336
1336,0,0,1336
1336,0,0,1336
1336,0,0,1336
1336,0,0,1336
1336,2,-2,1302
1302,0,0,1269
1269,0,0,1236
1236,1,-2,1237
1237,0,0,1237
1237,0,0,1237
1237,2,-2,1203
1203,2,-2,1136
1136,0,0,1070
878,0,0,1010
1010,0,0,1142
1142,0,0,1274
1274,0,0,1406
1406,1,-2,1572
1572,2,-2,1703
1703,0,0,1835
1835,1,-2,2001
2001,1,-2,0
1202,1,-2,1170
1170,1,-2,1171
1171,0,0,1171
1171,2,-2,1137
1137,0,0,1104
1104,0,0,1071
1071,0,0,1038
1038,0,0,1005
1005,2,-2,0
1728,2,-2,1562
1562,1,-2,1431
1431,2,-2,1265
1265,1,-2,1134
1134,0,0,1002
1002,1,-2,904
904,2,-2,771
771,0,0,639
639,2,-2,0
1304,1,-2,1371
1371,0,0,1437
1437,0,0,1503
1503,1,-2,1603
1603,2,-2,1668
1668,0,0,1734
1734,1,-2,1834
1834,0,0,1933
1933,0,0,2032
2032,2,-2,2097
2097,0,0,2163
2163,1,-2,2263
2263,1,-2,0
1597,0,0,1498
1498,2,-2,1365
1365,1,-2,1267
1267,0,0,1168
1168,1,-2,1103
1103,1,-2,1071
1071,0,0,1038
1038,2,-2,971
971,2,-2,871
871,2,-2,0
1562,0,0,1397
1397,0,0,1232
1232,0,0,1067
1067,0,0,902
902,0,0,737
737,0,0,0
1535,0,0,1568
1568,2,-2,1567
1567,1,-2,1601
1601,2,-2,1600
1600,1,-2,1634
1634,0,0,1667
1667,2,-2,1666
1666,0,0,1666
1666,0,0,1666
1666,2,-2,1632
1436,0,0,1469
1469,1,-2,1536
1536,1,-2,1636
1636,1,-2,1769
1769,0,0,1901
1901,2,-2,1999
1999,1,-2,2132
2132,0,0,2264
2264,1,-2,0
1569,0,0,1635
1635,0,0,1701
1701,0,0,1767
1767,1,-2,1867
1867,2,-2,1932
1932,0,0,1998
1998,1,-2,0
